PERMNO,date,TICKER,PRC
10516,2016-01-04,ADM,35.84000
10516,2016-01-05,ADM,36.24000
10516,2016-01-06,ADM,35.36000
10516,2016-01-07,ADM,34.52000
10516,2016-01-08,ADM,34.39000
10516,2016-01-11,ADM,34.16000
10516,2016-01-12,ADM,34.27000
10516,2016-01-13,ADM,33.47000
10516,2016-01-14,ADM,33.36000
10516,2016-01-15,ADM,31.51000
10516,2016-01-19,ADM,30.51000
10516,2016-01-20,ADM,31.29000
10516,2016-01-21,ADM,31.92000
10516,2016-01-22,ADM,33.23000
10516,2016-01-25,ADM,32.43000
10516,2016-01-26,ADM,33.63000
10516,2016-01-27,ADM,33.74000
10516,2016-01-28,ADM,34.70000
10516,2016-01-29,ADM,35.35000
10516,2016-02-01,ADM,35.46000
10516,2016-02-02,ADM,32.36000
10516,2016-02-03,ADM,33.44000
10516,2016-02-04,ADM,34.25000
10516,2016-02-05,ADM,34.07000
10516,2016-02-08,ADM,33.30000
10516,2016-02-09,ADM,33.58000
10516,2016-02-10,ADM,33.18000
10516,2016-02-11,ADM,31.63000
10516,2016-02-12,ADM,32.45000
10516,2016-02-16,ADM,33.62000
10516,2016-02-17,ADM,33.40000
10516,2016-02-18,ADM,33.90000
10516,2016-02-19,ADM,32.65000
10516,2016-02-22,ADM,33.79000
10516,2016-02-23,ADM,33.79000
10516,2016-02-24,ADM,33.85000
10516,2016-02-25,ADM,34.62000
10516,2016-02-26,ADM,34.79000
10516,2016-02-29,ADM,34.96000
10516,2016-03-01,ADM,35.48000
10516,2016-03-02,ADM,35.83000
10516,2016-03-03,ADM,36.83000
10516,2016-03-04,ADM,37.65000
10516,2016-03-07,ADM,37.14000
10516,2016-03-08,ADM,36.03000
10516,2016-03-09,ADM,36.06000
10516,2016-03-10,ADM,35.77000
10516,2016-03-11,ADM,36.60000
10516,2016-03-14,ADM,36.71000
10516,2016-03-15,ADM,36.56000
10516,2016-03-16,ADM,37.46000
10516,2016-03-17,ADM,38.20000
10516,2016-03-18,ADM,38.07000
10516,2016-03-21,ADM,38.17000
10516,2016-03-22,ADM,37.61000
10516,2016-03-23,ADM,36.60000
10516,2016-03-24,ADM,36.47000
10516,2016-03-28,ADM,36.35000
10516,2016-03-29,ADM,36.87000
10516,2016-03-30,ADM,36.62000
10516,2016-03-31,ADM,36.31000
10516,2016-04-01,ADM,36.47000
10516,2016-04-04,ADM,36.04000
10516,2016-04-05,ADM,35.11000
10516,2016-04-06,ADM,35.54000
10516,2016-04-07,ADM,35.72000
10516,2016-04-08,ADM,36.09000
10516,2016-04-11,ADM,36.00000
10516,2016-04-12,ADM,36.83000
10516,2016-04-13,ADM,37.14000
10516,2016-04-14,ADM,36.59000
10516,2016-04-15,ADM,37.30000
10516,2016-04-18,ADM,37.71000
10516,2016-04-19,ADM,38.23000
10516,2016-04-20,ADM,38.87000
10516,2016-04-21,ADM,38.35000
10516,2016-04-22,ADM,39.62000
10516,2016-04-25,ADM,39.26000
10516,2016-04-26,ADM,39.73000
10516,2016-04-27,ADM,39.91000
10516,2016-04-28,ADM,40.07000
10516,2016-04-29,ADM,39.94000
10516,2016-05-02,ADM,40.26000
10516,2016-05-03,ADM,39.10000
10516,2016-05-04,ADM,38.72000
10516,2016-05-05,ADM,38.08000
10516,2016-05-06,ADM,38.20000
10516,2016-05-09,ADM,37.73000
10516,2016-05-10,ADM,38.40000
10516,2016-05-11,ADM,37.96000
10516,2016-05-12,ADM,38.54000
10516,2016-05-13,ADM,37.63000
10516,2016-05-16,ADM,37.65000
10516,2016-05-17,ADM,37.49000
10516,2016-05-18,ADM,37.51000
10516,2016-05-19,ADM,38.37000
10516,2016-05-20,ADM,39.83000
10516,2016-05-23,ADM,40.44000
10516,2016-05-24,ADM,42.05000
10516,2016-05-25,ADM,42.48000
10516,2016-05-26,ADM,43.07000
10516,2016-05-27,ADM,43.23000
10516,2016-05-31,ADM,42.77000
10516,2016-06-01,ADM,42.83000
10516,2016-06-02,ADM,43.47000
10516,2016-06-03,ADM,43.60000
10516,2016-06-06,ADM,43.67000
10516,2016-06-07,ADM,43.66000
10516,2016-06-08,ADM,43.82000
10516,2016-06-09,ADM,43.83000
10516,2016-06-10,ADM,43.03000
10516,2016-06-13,ADM,41.82000
10516,2016-06-14,ADM,41.78000
10516,2016-06-15,ADM,42.15000
10516,2016-06-16,ADM,42.05000
10516,2016-06-17,ADM,42.31000
10516,2016-06-20,ADM,42.45000
10516,2016-06-21,ADM,41.94000
10516,2016-06-22,ADM,42.00000
10516,2016-06-23,ADM,42.71000
10516,2016-06-24,ADM,40.50000
10516,2016-06-27,ADM,39.14000
10516,2016-06-28,ADM,40.56000
10516,2016-06-29,ADM,41.58000
10516,2016-06-30,ADM,42.89000
10516,2016-07-01,ADM,42.61000
10516,2016-07-05,ADM,41.95000
10516,2016-07-06,ADM,42.12000
10516,2016-07-07,ADM,42.12000
10516,2016-07-08,ADM,43.48000
10516,2016-07-11,ADM,43.16000
10516,2016-07-12,ADM,43.29000
10516,2016-07-13,ADM,43.10000
10516,2016-07-14,ADM,43.48000
10516,2016-07-15,ADM,43.95000
10516,2016-07-18,ADM,44.25000
10516,2016-07-19,ADM,43.48000
10516,2016-07-20,ADM,43.39000
10516,2016-07-21,ADM,43.39000
10516,2016-07-22,ADM,43.72000
10516,2016-07-25,ADM,43.60000
10516,2016-07-26,ADM,43.87000
10516,2016-07-27,ADM,43.90000
10516,2016-07-28,ADM,44.94000
10516,2016-07-29,ADM,45.08000
10516,2016-08-01,ADM,44.24000
10516,2016-08-02,ADM,43.45000
10516,2016-08-03,ADM,43.93000
10516,2016-08-04,ADM,43.74000
10516,2016-08-05,ADM,44.45000
10516,2016-08-08,ADM,44.52000
10516,2016-08-09,ADM,44.38000
10516,2016-08-10,ADM,44.31000
10516,2016-08-11,ADM,43.93000
10516,2016-08-12,ADM,44.07000
10516,2016-08-15,ADM,43.77000
10516,2016-08-16,ADM,43.47000
10516,2016-08-17,ADM,43.63000
10516,2016-08-18,ADM,43.57000
10516,2016-08-19,ADM,43.48000
10516,2016-08-22,ADM,43.80000
10516,2016-08-23,ADM,44.12000
10516,2016-08-24,ADM,43.32000
10516,2016-08-25,ADM,42.56000
10516,2016-08-26,ADM,42.39000
10516,2016-08-29,ADM,42.84000
10516,2016-08-30,ADM,43.21000
10516,2016-08-31,ADM,43.76000
10516,2016-09-01,ADM,43.14000
10516,2016-09-02,ADM,43.82000
10516,2016-09-06,ADM,43.94000
10516,2016-09-07,ADM,44.02000
10516,2016-09-08,ADM,43.24000
10516,2016-09-09,ADM,42.02000
10516,2016-09-12,ADM,42.96000
10516,2016-09-13,ADM,42.00000
10516,2016-09-14,ADM,41.98000
10516,2016-09-15,ADM,42.28000
10516,2016-09-16,ADM,42.03000
10516,2016-09-19,ADM,42.18000
10516,2016-09-20,ADM,42.15000
10516,2016-09-21,ADM,42.81000
10516,2016-09-22,ADM,42.98000
10516,2016-09-23,ADM,42.47000
10516,2016-09-26,ADM,41.90000
10516,2016-09-27,ADM,41.89000
10516,2016-09-28,ADM,41.85000
10516,2016-09-29,ADM,41.53000
10516,2016-09-30,ADM,42.17000
10516,2016-10-03,ADM,42.90000
10516,2016-10-04,ADM,42.79000
10516,2016-10-05,ADM,43.27000
10516,2016-10-06,ADM,43.16000
10516,2016-10-07,ADM,42.65000
10516,2016-10-10,ADM,43.27000
10516,2016-10-11,ADM,42.34000
10516,2016-10-12,ADM,42.39000
10516,2016-10-13,ADM,42.25000
10516,2016-10-14,ADM,42.13000
10516,2016-10-17,ADM,41.85000
10516,2016-10-18,ADM,41.98000
10516,2016-10-19,ADM,42.22000
10516,2016-10-20,ADM,42.18000
10516,2016-10-21,ADM,42.32000
10516,2016-10-24,ADM,42.51000
10516,2016-10-25,ADM,42.53000
10516,2016-10-26,ADM,43.28000
10516,2016-10-27,ADM,43.08000
10516,2016-10-28,ADM,43.59000
10516,2016-10-31,ADM,43.57000
10516,2016-11-01,ADM,46.75000
10516,2016-11-02,ADM,47.26000
10516,2016-11-03,ADM,47.43000
10516,2016-11-04,ADM,46.92000
10516,2016-11-07,ADM,47.05000
10516,2016-11-08,ADM,47.72000
10516,2016-11-09,ADM,46.28000
10516,2016-11-10,ADM,45.18000
10516,2016-11-11,ADM,41.73000
10516,2016-11-14,ADM,42.88000
10516,2016-11-15,ADM,43.49000
10516,2016-11-16,ADM,43.26000
10516,2016-11-17,ADM,43.00000
10516,2016-11-18,ADM,43.49000
10516,2016-11-21,ADM,43.65000
10516,2016-11-22,ADM,43.51000
10516,2016-11-23,ADM,43.25000
10516,2016-11-25,ADM,43.55000
10516,2016-11-28,ADM,43.11000
10516,2016-11-29,ADM,42.77000
10516,2016-11-30,ADM,43.23000
10516,2016-12-01,ADM,44.31000
10516,2016-12-02,ADM,44.00000
10516,2016-12-05,ADM,43.90000
10516,2016-12-06,ADM,44.68000
10516,2016-12-07,ADM,45.20000
10516,2016-12-08,ADM,45.97000
10516,2016-12-09,ADM,46.56000
10516,2016-12-12,ADM,47.02000
10516,2016-12-13,ADM,46.40000
10516,2016-12-14,ADM,45.59000
10516,2016-12-15,ADM,45.74000
10516,2016-12-16,ADM,46.51000
10516,2016-12-19,ADM,46.07000
10516,2016-12-20,ADM,46.22000
10516,2016-12-21,ADM,46.13000
10516,2016-12-22,ADM,45.18000
10516,2016-12-23,ADM,45.15000
10516,2016-12-27,ADM,45.65000
10516,2016-12-28,ADM,45.34000
10516,2016-12-29,ADM,45.36000
10516,2016-12-30,ADM,45.65000
10516,2017-01-03,ADM,46.19000
10516,2017-01-04,ADM,46.11000
10516,2017-01-05,ADM,45.77000
10516,2017-01-06,ADM,44.72000
10516,2017-01-09,ADM,44.75000
10516,2017-01-10,ADM,44.46000
10516,2017-01-11,ADM,44.01000
10516,2017-01-12,ADM,43.44000
10516,2017-01-13,ADM,43.56000
10516,2017-01-17,ADM,44.69000
10516,2017-01-18,ADM,44.95000
10516,2017-01-19,ADM,44.50000
10516,2017-01-20,ADM,44.73000
10516,2017-01-23,ADM,44.71000
10516,2017-01-24,ADM,44.66000
10516,2017-01-25,ADM,45.20000
10516,2017-01-26,ADM,44.55000
10516,2017-01-27,ADM,44.52000
10516,2017-01-30,ADM,44.13000
10516,2017-01-31,ADM,44.26000
10516,2017-02-01,ADM,43.77000
10516,2017-02-02,ADM,43.99000
10516,2017-02-03,ADM,43.99000
10516,2017-02-06,ADM,44.02000
10516,2017-02-07,ADM,44.59000
10516,2017-02-08,ADM,43.46000
10516,2017-02-09,ADM,43.54000
10516,2017-02-10,ADM,43.83000
10516,2017-02-13,ADM,43.71000
10516,2017-02-14,ADM,43.73000
10516,2017-02-15,ADM,44.47000
10516,2017-02-16,ADM,44.10000
10516,2017-02-17,ADM,44.69000
10516,2017-02-21,ADM,44.81000
10516,2017-02-22,ADM,44.72000
10516,2017-02-23,ADM,45.09000
10516,2017-02-24,ADM,45.26000
10516,2017-02-27,ADM,45.37000
10516,2017-02-28,ADM,46.97000
10516,2017-03-01,ADM,46.51000
10516,2017-03-02,ADM,45.48000
10516,2017-03-03,ADM,45.20000
10516,2017-03-06,ADM,44.76000
10516,2017-03-07,ADM,44.46000
10516,2017-03-08,ADM,43.99000
10516,2017-03-09,ADM,44.42000
10516,2017-03-10,ADM,45.04000
10516,2017-03-13,ADM,44.70000
10516,2017-03-14,ADM,44.67000
10516,2017-03-15,ADM,45.01000
10516,2017-03-16,ADM,44.85000
10516,2017-03-17,ADM,44.72000
10516,2017-03-20,ADM,44.85000
10516,2017-03-21,ADM,44.95000
10516,2017-03-22,ADM,45.61000
10516,2017-03-23,ADM,45.61000
10516,2017-03-24,ADM,45.58000
10516,2017-03-27,ADM,45.35000
10516,2017-03-28,ADM,45.72000
10516,2017-03-29,ADM,46.24000
10516,2017-03-30,ADM,46.11000
10516,2017-03-31,ADM,46.04000
10516,2017-04-03,ADM,45.80000
10516,2017-04-04,ADM,45.41000
10516,2017-04-05,ADM,45.26000
10516,2017-04-06,ADM,45.25000
10516,2017-04-07,ADM,44.89000
10516,2017-04-10,ADM,44.99000
10516,2017-04-11,ADM,44.54000
10516,2017-04-12,ADM,44.65000
10516,2017-04-13,ADM,44.28000
