PERMNO,date,TICKER,PRC
10104,2016-01-04,ORCL,35.75000
10104,2016-01-05,ORCL,35.64000
10104,2016-01-06,ORCL,35.82000
10104,2016-01-07,ORCL,35.04000
10104,2016-01-08,ORCL,34.65000
10104,2016-01-11,ORCL,34.94000
10104,2016-01-12,ORCL,35.37000
10104,2016-01-13,ORCL,34.08000
10104,2016-01-14,ORCL,34.79000
10104,2016-01-15,ORCL,34.12000
10104,2016-01-19,ORCL,34.55000
10104,2016-01-20,ORCL,33.94000
10104,2016-01-21,ORCL,34.12000
10104,2016-01-22,ORCL,34.80000
10104,2016-01-25,ORCL,34.34000
10104,2016-01-26,ORCL,35.23000
10104,2016-01-27,ORCL,34.91000
10104,2016-01-28,ORCL,35.33000
10104,2016-01-29,ORCL,36.31000
10104,2016-02-01,ORCL,36.32000
10104,2016-02-02,ORCL,35.35000
10104,2016-02-03,ORCL,35.69000
10104,2016-02-04,ORCL,36.45000
10104,2016-02-05,ORCL,35.70000
10104,2016-02-08,ORCL,35.61000
10104,2016-02-09,ORCL,35.08000
10104,2016-02-10,ORCL,35.20000
10104,2016-02-11,ORCL,34.84000
10104,2016-02-12,ORCL,35.54000
10104,2016-02-16,ORCL,35.70000
10104,2016-02-17,ORCL,36.63000
10104,2016-02-18,ORCL,36.63000
10104,2016-02-19,ORCL,36.78000
10104,2016-02-22,ORCL,37.11000
10104,2016-02-23,ORCL,36.55000
10104,2016-02-24,ORCL,36.63000
10104,2016-02-25,ORCL,37.29000
10104,2016-02-26,ORCL,36.96000
10104,2016-02-29,ORCL,36.78000
10104,2016-03-01,ORCL,37.99000
10104,2016-03-02,ORCL,37.76000
10104,2016-03-03,ORCL,37.89000
10104,2016-03-04,ORCL,37.89000
10104,2016-03-07,ORCL,38.36000
10104,2016-03-08,ORCL,38.15000
10104,2016-03-09,ORCL,38.48000
10104,2016-03-10,ORCL,38.05000
10104,2016-03-11,ORCL,38.95000
10104,2016-03-14,ORCL,38.70000
10104,2016-03-15,ORCL,38.74000
10104,2016-03-16,ORCL,40.22000
10104,2016-03-17,ORCL,40.61000
10104,2016-03-18,ORCL,41.48000
10104,2016-03-21,ORCL,41.61000
10104,2016-03-22,ORCL,41.38000
10104,2016-03-23,ORCL,40.75000
10104,2016-03-24,ORCL,40.97000
10104,2016-03-28,ORCL,40.62000
10104,2016-03-29,ORCL,40.70000
10104,2016-03-30,ORCL,40.97000
10104,2016-03-31,ORCL,40.91000
10104,2016-04-01,ORCL,41.16000
10104,2016-04-04,ORCL,41.07000
10104,2016-04-05,ORCL,40.53000
10104,2016-04-06,ORCL,40.75000
10104,2016-04-07,ORCL,39.97000
10104,2016-04-08,ORCL,40.36000
10104,2016-04-11,ORCL,40.39000
10104,2016-04-12,ORCL,40.42000
10104,2016-04-13,ORCL,41.31000
10104,2016-04-14,ORCL,41.24000
10104,2016-04-15,ORCL,41.02000
10104,2016-04-18,ORCL,41.24000
10104,2016-04-19,ORCL,41.06000
10104,2016-04-20,ORCL,41.10000
10104,2016-04-21,ORCL,40.99000
10104,2016-04-22,ORCL,40.70000
10104,2016-04-25,ORCL,40.78000
10104,2016-04-26,ORCL,40.65000
10104,2016-04-27,ORCL,40.85000
10104,2016-04-28,ORCL,40.33000
10104,2016-04-29,ORCL,39.86000
10104,2016-05-02,ORCL,40.30000
10104,2016-05-03,ORCL,39.68000
10104,2016-05-04,ORCL,39.29000
10104,2016-05-05,ORCL,39.23000
10104,2016-05-06,ORCL,39.41000
10104,2016-05-09,ORCL,39.36000
10104,2016-05-10,ORCL,40.02000
10104,2016-05-11,ORCL,39.65000
10104,2016-05-12,ORCL,39.82000
