PERMNO,date,TICKER,PRC
12345,2020-01-02,LYB,93.86000
12345,2020-01-03,LYB,91.55000
12345,2020-01-06,LYB,91.31000
12345,2020-01-07,LYB,90.92000
12345,2020-01-08,LYB,90.54000
12345,2020-01-09,LYB,90.57000
12345,2020-01-10,LYB,89.43000
12345,2020-01-13,LYB,91.20000
12345,2020-01-14,LYB,91.93000
12345,2020-01-15,LYB,91.19000
12345,2020-01-16,LYB,91.51000
12345,2020-01-17,LYB,92.00000
12345,2020-01-21,LYB,89.39000
12345,2020-01-22,LYB,86.64000
12345,2020-01-23,LYB,86.24000
12345,2020-01-24,LYB,84.95000
12345,2020-01-27,LYB,82.11000
12345,2020-01-28,LYB,82.93000
12345,2020-01-29,LYB,83.85000
12345,2020-01-30,LYB,83.45000
12345,2020-01-31,LYB,77.86000
12345,2020-02-03,LYB,78.82000
12345,2020-02-04,LYB,81.72000
12345,2020-02-05,LYB,84.08000
12345,2020-02-06,LYB,83.38000
12345,2020-02-07,LYB,82.10000
12345,2020-02-10,LYB,81.93000
12345,2020-02-11,LYB,83.97000
12345,2020-02-12,LYB,85.61000
12345,2020-02-13,LYB,83.49000
12345,2020-02-14,LYB,82.60000
12345,2020-02-18,LYB,81.32000
12345,2020-02-19,LYB,81.95000
12345,2020-02-20,LYB,83.35000
12345,2020-02-21,LYB,82.91000
12345,2020-02-24,LYB,79.65000
12345,2020-02-25,LYB,75.41000
12345,2020-02-26,LYB,74.39000
12345,2020-02-27,LYB,70.90000
12345,2020-02-28,LYB,71.46000
12345,2020-03-02,LYB,74.52000
12345,2020-03-03,LYB,72.24000
12345,2020-03-04,LYB,75.23000
12345,2020-03-05,LYB,73.91000
12345,2020-03-06,LYB,71.99000
12345,2020-03-09,LYB,59.61000
12345,2020-03-10,LYB,59.74000
12345,2020-03-11,LYB,54.00000
12345,2020-03-12,LYB,46.07000
12345,2020-03-13,LYB,46.84000
12345,2020-03-16,LYB,34.90000
12345,2020-03-17,LYB,41.72000
12345,2020-03-18,LYB,40.57000
12345,2020-03-19,LYB,43.23000
12345,2020-03-20,LYB,42.00000
12345,2020-03-23,LYB,40.49000
12345,2020-03-24,LYB,45.29000
12345,2020-03-25,LYB,52.10000
12345,2020-03-26,LYB,53.93000
12345,2020-03-27,LYB,49.40000
12345,2020-03-30,LYB,49.58000
12345,2020-03-31,LYB,49.63000
12345,2020-04-01,LYB,45.03000
12345,2020-04-02,LYB,45.92000
12345,2020-04-03,LYB,46.10000
12345,2020-04-06,LYB,49.88000
12345,2020-04-07,LYB,51.65000
12345,2020-04-08,LYB,55.47000
12345,2020-04-09,LYB,58.93000
12345,2020-04-13,LYB,58.04000
12345,2020-04-14,LYB,58.64000
12345,2020-04-15,LYB,52.70000
12345,2020-04-16,LYB,49.45000
12345,2020-04-17,LYB,52.19000
12345,2020-04-20,LYB,48.41000
12345,2020-04-21,LYB,46.63000
12345,2020-04-22,LYB,48.11000
12345,2020-04-23,LYB,49.37000
