PERMNO,date,TICKER,PRC
11404,2020-01-02,ED,88.86000
11404,2020-01-03,ED,88.63000
11404,2020-01-06,ED,88.34000
11404,2020-01-07,ED,87.67000
11404,2020-01-08,ED,86.97000
11404,2020-01-09,ED,86.88000
11404,2020-01-10,ED,87.49000
11404,2020-01-13,ED,87.79000
11404,2020-01-14,ED,87.78000
11404,2020-01-15,ED,88.96000
11404,2020-01-16,ED,89.17000
11404,2020-01-17,ED,90.24000
11404,2020-01-21,ED,90.83000
11404,2020-01-22,ED,91.16000
11404,2020-01-23,ED,92.77000
11404,2020-01-24,ED,93.61000
11404,2020-01-27,ED,93.41000
11404,2020-01-28,ED,94.18000
11404,2020-01-29,ED,94.44000
11404,2020-01-30,ED,94.74000
11404,2020-01-31,ED,94.00000
11404,2020-02-03,ED,93.85000
11404,2020-02-04,ED,92.54000
11404,2020-02-05,ED,93.40000
11404,2020-02-06,ED,93.47000
11404,2020-02-07,ED,92.78000
11404,2020-02-10,ED,93.08000
11404,2020-02-11,ED,93.18000
11404,2020-02-12,ED,92.87000
11404,2020-02-13,ED,93.64000
11404,2020-02-14,ED,94.30000
11404,2020-02-18,ED,94.35000
11404,2020-02-19,ED,93.88000
11404,2020-02-20,ED,94.58000
11404,2020-02-21,ED,90.18000
11404,2020-02-24,ED,88.89000
11404,2020-02-25,ED,88.25000
11404,2020-02-26,ED,87.69000
11404,2020-02-27,ED,83.19000
11404,2020-02-28,ED,78.82000
11404,2020-03-02,ED,84.53000
11404,2020-03-03,ED,83.84000
11404,2020-03-04,ED,88.01000
11404,2020-03-05,ED,87.58000
11404,2020-03-06,ED,87.90000
11404,2020-03-09,ED,88.66000
11404,2020-03-10,ED,89.40000
11404,2020-03-11,ED,86.50000
11404,2020-03-12,ED,83.79000
11404,2020-03-13,ED,88.07000
11404,2020-03-16,ED,79.55000
11404,2020-03-17,ED,93.88000
11404,2020-03-18,ED,92.20000
11404,2020-03-19,ED,80.09000
11404,2020-03-20,ED,72.59000
