PERMNO,date,TICKER,PRC
10516,2020-01-02,ADM,46.11000
10516,2020-01-03,ADM,46.02000
10516,2020-01-06,ADM,45.66000
10516,2020-01-07,ADM,45.11000
10516,2020-01-08,ADM,44.61000
10516,2020-01-09,ADM,44.15000
10516,2020-01-10,ADM,43.95000
10516,2020-01-13,ADM,44.42000
10516,2020-01-14,ADM,44.50000
10516,2020-01-15,ADM,44.39000
10516,2020-01-16,ADM,45.34000
10516,2020-01-17,ADM,45.25000
10516,2020-01-21,ADM,45.12000
10516,2020-01-22,ADM,44.93000
10516,2020-01-23,ADM,44.97000
10516,2020-01-24,ADM,44.30000
10516,2020-01-27,ADM,43.53000
10516,2020-01-28,ADM,43.92000
10516,2020-01-29,ADM,43.68000
10516,2020-01-30,ADM,45.80000
10516,2020-01-31,ADM,44.76000
10516,2020-02-03,ADM,44.96000
10516,2020-02-04,ADM,45.37000
10516,2020-02-05,ADM,46.07000
10516,2020-02-06,ADM,45.98000
10516,2020-02-07,ADM,45.71000
10516,2020-02-10,ADM,45.68000
10516,2020-02-11,ADM,46.12000
10516,2020-02-12,ADM,45.61000
10516,2020-02-13,ADM,45.27000
10516,2020-02-14,ADM,44.77000
10516,2020-02-18,ADM,44.45000
10516,2020-02-19,ADM,43.97000
10516,2020-02-20,ADM,44.23000
10516,2020-02-21,ADM,43.90000
10516,2020-02-24,ADM,42.82000
10516,2020-02-25,ADM,40.43000
10516,2020-02-26,ADM,39.87000
10516,2020-02-27,ADM,37.62000
10516,2020-02-28,ADM,37.65000
10516,2020-03-02,ADM,38.84000
10516,2020-03-03,ADM,38.06000
10516,2020-03-04,ADM,39.37000
10516,2020-03-05,ADM,38.33000
10516,2020-03-06,ADM,37.64000
10516,2020-03-09,ADM,35.30000
10516,2020-03-10,ADM,37.12000
10516,2020-03-11,ADM,35.07000
10516,2020-03-12,ADM,31.54000
10516,2020-03-13,ADM,34.64000
10516,2020-03-16,ADM,32.68000
10516,2020-03-17,ADM,35.26000
10516,2020-03-18,ADM,33.02000
10516,2020-03-19,ADM,33.46000
10516,2020-03-20,ADM,30.61000
10516,2020-03-23,ADM,29.31000
10516,2020-03-24,ADM,32.32000
10516,2020-03-25,ADM,32.70000
10516,2020-03-26,ADM,34.46000
10516,2020-03-27,ADM,33.50000
10516,2020-03-30,ADM,35.83000
10516,2020-03-31,ADM,35.18000
10516,2020-04-01,ADM,33.87000
10516,2020-04-02,ADM,34.33000
10516,2020-04-03,ADM,34.65000
10516,2020-04-06,ADM,35.78000
10516,2020-04-07,ADM,35.98000
10516,2020-04-08,ADM,36.48000
10516,2020-04-09,ADM,37.58000
10516,2020-04-13,ADM,36.07000
10516,2020-04-14,ADM,37.24000
10516,2020-04-15,ADM,35.49000
10516,2020-04-16,ADM,35.66000
10516,2020-04-17,ADM,37.19000
10516,2020-04-20,ADM,36.34000
10516,2020-04-21,ADM,35.00000
10516,2020-04-22,ADM,35.40000
10516,2020-04-23,ADM,35.74000
10516,2020-04-24,ADM,35.99000
10516,2020-04-27,ADM,36.54000
10516,2020-04-28,ADM,37.17000
10516,2020-04-29,ADM,38.41000
10516,2020-04-30,ADM,37.14000
10516,2020-05-01,ADM,35.12000
10516,2020-05-04,ADM,34.76000
10516,2020-05-05,ADM,34.96000
10516,2020-05-06,ADM,34.40000
10516,2020-05-07,ADM,34.76000
10516,2020-05-08,ADM,36.39000
10516,2020-05-11,ADM,35.43000
10516,2020-05-12,ADM,34.74000
10516,2020-05-13,ADM,33.84000
10516,2020-05-14,ADM,34.16000
10516,2020-05-15,ADM,34.12000
10516,2020-05-18,ADM,35.80000
10516,2020-05-19,ADM,34.82000
10516,2020-05-20,ADM,35.35000
10516,2020-05-21,ADM,35.12000
10516,2020-05-22,ADM,35.38000
10516,2020-05-26,ADM,37.13000
10516,2020-05-27,ADM,39.00000
10516,2020-05-28,ADM,39.00000
10516,2020-05-29,ADM,39.31000
10516,2020-06-01,ADM,38.89000
10516,2020-06-02,ADM,39.67000
