PERMNO,date,TICKER,PRC
10104,2020-01-02,ORCL,53.95000
10104,2020-01-03,ORCL,53.76000
10104,2020-01-06,ORCL,54.04000
10104,2020-01-07,ORCL,54.16000
10104,2020-01-08,ORCL,54.13000
10104,2020-01-09,ORCL,54.38000
10104,2020-01-10,ORCL,54.45000
10104,2020-01-13,ORCL,54.58000
10104,2020-01-14,ORCL,54.88000
10104,2020-01-15,ORCL,54.76000
10104,2020-01-16,ORCL,55.43000
10104,2020-01-17,ORCL,55.13000
10104,2020-01-21,ORCL,55.22000
10104,2020-01-22,ORCL,54.72000
10104,2020-01-23,ORCL,54.98000
10104,2020-01-24,ORCL,54.07000
10104,2020-01-27,ORCL,52.69000
10104,2020-01-28,ORCL,53.46000
10104,2020-01-29,ORCL,53.20000
10104,2020-01-30,ORCL,53.31000
10104,2020-01-31,ORCL,52.45000
10104,2020-02-03,ORCL,53.09000
10104,2020-02-04,ORCL,54.04000
10104,2020-02-05,ORCL,54.74000
10104,2020-02-06,ORCL,54.71000
10104,2020-02-07,ORCL,54.72000
10104,2020-02-10,ORCL,54.99000
10104,2020-02-11,ORCL,55.15000
10104,2020-02-12,ORCL,55.73000
10104,2020-02-13,ORCL,55.31000
10104,2020-02-14,ORCL,55.47000
10104,2020-02-18,ORCL,55.45000
10104,2020-02-19,ORCL,55.44000
10104,2020-02-20,ORCL,55.51000
10104,2020-02-21,ORCL,54.68000
10104,2020-02-24,ORCL,52.65000
10104,2020-02-25,ORCL,50.96000
10104,2020-02-26,ORCL,52.05000
10104,2020-02-27,ORCL,50.78000
10104,2020-02-28,ORCL,49.46000
10104,2020-03-02,ORCL,50.90000
10104,2020-03-03,ORCL,48.85000
10104,2020-03-04,ORCL,50.54000
10104,2020-03-05,ORCL,48.00000
10104,2020-03-06,ORCL,47.37000
10104,2020-03-09,ORCL,46.01000
10104,2020-03-10,ORCL,48.58000
10104,2020-03-11,ORCL,44.72000
10104,2020-03-12,ORCL,39.80000
10104,2020-03-13,ORCL,47.93000
10104,2020-03-16,ORCL,42.72000
10104,2020-03-17,ORCL,46.86000
10104,2020-03-18,ORCL,47.27000
10104,2020-03-19,ORCL,45.07000
10104,2020-03-20,ORCL,45.65000
10104,2020-03-23,ORCL,44.19000
10104,2020-03-24,ORCL,47.84000
10104,2020-03-25,ORCL,45.94000
10104,2020-03-26,ORCL,50.48000
10104,2020-03-27,ORCL,49.83000
10104,2020-03-30,ORCL,50.36000
10104,2020-03-31,ORCL,48.33000
10104,2020-04-01,ORCL,48.71000
10104,2020-04-02,ORCL,49.80000
10104,2020-04-03,ORCL,49.40000
10104,2020-04-06,ORCL,51.49000
10104,2020-04-07,ORCL,50.76000
10104,2020-04-08,ORCL,52.13000
10104,2020-04-09,ORCL,53.18000
10104,2020-04-13,ORCL,52.97000
10104,2020-04-14,ORCL,54.00000
10104,2020-04-15,ORCL,53.16000
10104,2020-04-16,ORCL,53.70000
10104,2020-04-17,ORCL,54.62000
10104,2020-04-20,ORCL,53.91000
10104,2020-04-21,ORCL,51.31000
10104,2020-04-22,ORCL,52.27000
10104,2020-04-23,ORCL,51.97000
10104,2020-04-24,ORCL,53.01000
10104,2020-04-27,ORCL,53.37000
10104,2020-04-28,ORCL,53.20000
10104,2020-04-29,ORCL,53.88000
10104,2020-04-30,ORCL,52.97000
10104,2020-05-01,ORCL,51.79000
10104,2020-05-04,ORCL,51.75000
10104,2020-05-05,ORCL,52.05000
10104,2020-05-06,ORCL,51.86000
10104,2020-05-07,ORCL,52.60000
10104,2020-05-08,ORCL,53.57000
10104,2020-05-11,ORCL,53.53000
10104,2020-05-12,ORCL,52.27000
10104,2020-05-13,ORCL,51.65000
10104,2020-05-14,ORCL,52.91000
10104,2020-05-15,ORCL,52.92000
