"","name1","name2","Gaussian","Mammen","Rademacher","GCM","PCD","PCIT","PCoT","cdCov"
"1","CS","CD",0.0016,8e-04,0.0014,0.002,8888,0.0139260992322225,0.0905594120299361,0.01
"2","CS","CSt",0.0064,0.0046,0.003,0.002,8888,0.0860019905993422,0.298595558575462,0.01
"3","CS","Eng",0.8786,0.877,0.8792,0.052,8888,0.326955856461661,0.203325252612547,0.01
"4","CS","Fin",0.0226,0.0198,0.016,0.012,8888,0.0808871454428447,0.003877697643489,0.01
"5","CS","HC",0.0628,0.0592,0.048,0.118,8888,0.0206707744245053,0.00211819721001771,0.01
"6","CS","Ind",0.2154,0.1938,0.1684,0.19,8888,0.0250162505967558,0.0263864115354507,0.01
"7","CS","IT",0.0062,0.0062,0.0038,0.002,8888,0.000624033219654985,2.659184115128e-06,0.01
"8","CS","Mat",0.216,0.2024,0.19,0.312,8888,0.286031411379997,6.74124696590228e-05,0.01
"9","CS","RE",0.2238,0.2088,0.2066,0.022,8888,0.01798018928547,0.198043496952585,0.01
"10","CS","Uti",0.0268,0.0204,0.0198,0.116,8888,0.024979956896112,0.0650904487630657,0.01
"11","CD","CSt",0,0,0,0.002,8888,0.000119406959551149,0.000611052009208191,0.01
"12","CD","Eng",0.0022,0.003,0.002,0.074,8888,0.0744901524762575,0.315559376957224,0.01
"13","CD","Fin",0.0708,0.0626,0.0548,0.26,8888,0.546009872417627,0.000251016935459702,0.01
"14","CD","HC",0.4304,0.4118,0.4024,0.296,8888,0.927087313421826,0.0511860859404709,0.01
"15","CD","Ind",0,0,0,0.002,8888,0.642639122324041,0.000472176908291932,0.01
"16","CD","IT",0.0268,0.0256,0.0238,0.004,8888,0.444531819198866,0.00060202907994189,0.01
"17","CD","Mat",0.4046,0.3966,0.3808,0.162,8888,0.589143018743348,0.0326777584844845,0.01
"18","CD","RE",0,0,0,0.002,8888,0.080182179675218,0.0345489034592035,0.01
"19","CD","Uti",0.5336,0.514,0.5056,0.048,8888,0.0162080661565167,0.141234381018419,0.01
"20","CSt","Eng",0.4552,0.4546,0.4536,0.014,8888,0.28200617975971,0.00026268742805291,0.01
"21","CSt","Fin",0.3132,0.311,0.2964,0.01,8888,0.0704186317488436,0.44877964772094,0.01
"22","CSt","HC",0,0,0,0.002,8888,0.391971297228853,0.00110762009494447,0.01
"23","CSt","Ind",0.1198,0.1262,0.1102,0.274,8888,0.0899741803818823,0.100513168330636,0.01
"24","CSt","IT",0.4176,0.3754,0.3496,0.154,8888,0.577002258311005,0.113607559586187,0.01
"25","CSt","Mat",0.024,0.0198,0.0196,0.008,8888,0.151877849086408,0.145241964657182,0.01
"26","CSt","RE",0.0202,0.017,0.0152,0.002,8888,0.00612738923769873,0.00222655628245128,0.01
"27","CSt","Uti",0.0014,0.0016,0.001,0.002,8888,0.000604953653191354,0.0122811150371092,0.01
"28","Eng","Fin",0.2054,0.1896,0.1748,0.006,8888,0.186490679178532,0.0794595744266934,0.01
"29","Eng","HC",0.6608,0.6566,0.6448,0.704,8888,0.0574857278859469,0.627657496580704,0.01
"30","Eng","Ind",0,0,0,0.002,8888,0.103590095143101,0.000214257221078484,0.01
"31","Eng","IT",0.2332,0.2286,0.207,0.02,8888,0.867691430304494,0.77531663282611,0.01
"32","Eng","Mat",0.0328,0.0236,0.0238,0.006,8888,0.69653053004591,0.00109405722122491,0.01
"33","Eng","RE",0.225,0.2274,0.2116,0.276,8888,0.00450515636455073,0.0414292838692121,0.01
