"","name1","name2","Gaussian","Mammen","Rademacher"
"1","CS","CD",0,0,0
"2","CS","CSt",0,0,0
"3","CS","Eng",0,0,0
"4","CS","Fin",0,0,0
"5","CS","HC",0,0,0
"6","CS","Ind",0,0,0
"7","CS","IT",0,0,0
"8","CS","Mat",0,0,0
"9","CS","RE",0,0,0
"10","CS","Uti",0,0,0
"11","CD","CSt",0,0,0
"12","CD","Eng",0,0,0
"13","CD","Fin",0,0,0
"14","CD","HC",0,0,0
"15","CD","Ind",0,0,0
"16","CD","IT",0,0,0
"17","CD","Mat",0,0,0
"18","CD","RE",0,0,0
"19","CD","Uti",0,0,0
"20","CSt","Eng",0,0,0
"21","CSt","Fin",0,0,0
"22","CSt","HC",0,0,0
"23","CSt","Ind",0,0,0
"24","CSt","IT",0,0,0
"25","CSt","Mat",0,0,0
"26","CSt","RE",0,0,0
"27","CSt","Uti",0,0,0
"28","Eng","Fin",0,0,0
"29","Eng","HC",0,0,0
"30","Eng","Ind",0,0,0
"31","Eng","IT",0,0,0
"32","Eng","Mat",0,0,0
"33","Eng","RE",0,0,0
"34","Eng","Uti",0,0,0
"35","Fin","HC",0,0,0
"36","Fin","Ind",0,0,0
"37","Fin","IT",0,0,0
"38","Fin","Mat",0,0,0
"39","Fin","RE",0,0,0
"40","Fin","Uti",0,0,0
"41","HC","Ind",0,0,0
"42","HC","IT",0,0,0
"43","HC","Mat",0,0,0
"44","HC","RE",0,0,0
"45","HC","Uti",0,0,0
"46","Ind","IT",0,0,0
"47","Ind","Mat",0,0,0
"48","Ind","RE",0,0,0
"49","Ind","Uti",0,0,0
"50","IT","Mat",0,0,0
"51","IT","RE",0,0,0
"52","IT","Uti",0,0,0
"53","Mat","RE",0,0,0
"54","Mat","Uti",0,0,0
"55","RE","Uti",0,0,0
