name1,name2,pv
CD,CSt,0
CD,Eng,0
CD,Ind,0
CD,Mat,0
CD,Uti,0
CSt,Fin,0
CSt,Ind,0
CSt,IT,0
CSt,RE,0
CSt,Uti,0
HC,Ind,0
HC,IT,0
HC,Mat,0
RE,Uti,0
CD,RE,0.0002
Ind,IT,0.0002
CS,CSt,0.0004
Fin,Mat,0.0004
Fin,Uti,0.0004
Eng,Mat,0.0006
CS,Mat,0.0008
IT,Mat,0.001
HC,RE,0.002
Mat,RE,0.0026
IT,Uti,0.0038
CS,CD,0.0082
Ind,Mat,0.01
CS,Eng,0.010199999
Eng,HC,0.0134
Eng,IT,0.015999999
HC,Uti,0.015999999
CS,RE,0.0198
Fin,IT,0.022799999
CD,HC,0.023
Fin,RE,0.0242
IT,RE,0.0326
CSt,Eng,0.0328
Fin,Ind,0.0382
CSt,HC,0.0546
CS,Uti,0.0646
CD,IT,0.099199995
CD,Fin,0.0994
Fin,HC,0.1178
Ind,RE,0.1188
Ind,Uti,0.1592
CS,Ind,0.218
CS,IT,0.22399999
CS,Fin,0.2918
Eng,RE,0.3658
CS,HC,0.3802
Eng,Ind,0.46679997
CSt,Mat,0.6232
Eng,Fin,0.70739996
Eng,Uti,0.7696
Mat,Uti,0.8152
